SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
bidia,53579.6485997748,0.0,5.6703577995771534e-05,0.0
elumaleva,38271.17749027318,0.0,4.050255571126538e-05,0.0
miesi,30781.237134700445,0.0,0.00010530664484928998,3.069082789887228e-08
elumalev,30616.94195982074,0.0,3.2402044569012305e-05,0.0
põhiparadoksi,30616.94195982074,0.0,3.2402044569012305e-05,0.0
mittekangelase,22962.706445567197,0.0,2.430153342675923e-05,0.0
soolestikufloora,22962.706445567197,0.0,2.430153342675923e-05,0.0
appathurai,22962.706445567197,0.0,2.430153342675923e-05,0.0
hoiuraha,22962.706445567197,0.0,2.430153342675923e-05,0.0
konspiratsiooniteemalise,15308.470947512558,0.0,1.6201022284506153e-05,0.0
putinland,15308.470947512558,0.0,1.6201022284506153e-05,0.0
noix,15308.470947512558,0.0,1.6201022284506153e-05,0.0
inkrementalistide,15308.470947512558,0.0,1.6201022284506153e-05,0.0
pimevaimud,15308.470947512558,0.0,1.6201022284506153e-05,0.0
mikroobivabalt,15308.470947512558,0.0,1.6201022284506153e-05,0.0
vandenõuteema,15308.470947512558,0.0,1.6201022284506153e-05,0.0
piinamisraport,15308.470947512558,0.0,1.6201022284506153e-05,0.0
kuulidevabas,15308.470947512558,0.0,1.6201022284506153e-05,0.0
koloniaalmajandus,15308.470947512558,0.0,1.6201022284506153e-05,0.0
mašenka,15308.470947512558,0.0,1.6201022284506153e-05,0.0
varjulejäämise,15308.470947512558,0.0,1.6201022284506153e-05,0.0
kangelasetüüpi,15308.470947512558,0.0,1.6201022284506153e-05,0.0
päkapikukartul,15308.470947512558,0.0,1.6201022284506153e-05,0.0
isehävituv,15308.470947512558,0.0,1.6201022284506153e-05,0.0
inkrementalistid,15308.470947512558,0.0,1.6201022284506153e-05,0.0
vandenõunarratiivi,13603.08575033598,0.0,3.2402044569012305e-05,5.291522051529703e-09
lasmanni,12241.977331960092,0.0,3.2402044569012305e-05,6.349826461835644e-09
kibestunu,11249.171099538646,0.0,4.050255571126538e-05,1.2699652923671288e-08
inimtööaastate,10204.314019352281,0.0,1.6201022284506153e-05,1.0583044103059406e-09
zaventemile,10204.314019352281,0.0,1.6201022284506153e-05,1.0583044103059406e-09
kunstiajaloolasteks,10204.314019352281,0.0,1.6201022284506153e-05,1.0583044103059406e-09
voogesituslik,7654.235465656825,0.0,8.100511142253076e-06,0.0
rublalaristamist,7654.235465656825,0.0,8.100511142253076e-06,0.0
hersones,7654.235465656825,0.0,8.100511142253076e-06,0.0
hiidsuurelt,7654.235465656825,0.0,8.100511142253076e-06,0.0
livideerida,7654.235465656825,0.0,8.100511142253076e-06,0.0
otsustuspõhised,7654.235465656825,0.0,8.100511142253076e-06,0.0
hiidkuuskede,7654.235465656825,0.0,8.100511142253076e-06,0.0
rändeahela,7654.235465656825,0.0,8.100511142253076e-06,0.0
hõlvav,7654.235465656825,0.0,8.100511142253076e-06,0.0
rändlinnualad,7654.235465656825,0.0,8.100511142253076e-06,0.0
ida-slavoonia,7654.235465656825,0.0,8.100511142253076e-06,0.0
rändmustlased,7654.235465656825,0.0,8.100511142253076e-06,0.0
sünktõsiste,7654.235465656825,0.0,8.100511142253076e-06,0.0
räbaldunutena,7654.235465656825,0.0,8.100511142253076e-06,0.0
ida-ukrainaks,7654.235465656825,0.0,8.100511142253076e-06,0.0
räkitile,7654.235465656825,0.0,8.100511142253076e-06,0.0
hemofoobiat,7654.235465656825,0.0,8.100511142253076e-06,0.0
idarahal,7654.235465656825,0.0,8.100511142253076e-06,0.0
ida-oblasteid,7654.235465656825,0.0,8.100511142253076e-06,0.0
heliisolatsioonseinteta,7654.235465656825,0.0,8.100511142253076e-06,0.0
paavstikriitiliste,7654.235465656825,0.0,8.100511142253076e-06,0.0
nugilisest,7654.235465656825,0.0,8.100511142253076e-06,0.0
ihaldataksegi,7654.235465656825,0.0,8.100511142253076e-06,0.0
hüsteerialaadseid,7654.235465656825,0.0,8.100511142253076e-06,0.0
revolutsiooniajaloo,7654.235465656825,0.0,8.100511142253076e-06,0.0
vihmavarjurite,7654.235465656825,0.0,8.100511142253076e-06,0.0
horribilisväga,7654.235465656825,0.0,8.100511142253076e-06,0.0
nõuavavad,7654.235465656825,0.0,8.100511142253076e-06,0.0
huviharidusvaldkonnaga,7654.235465656825,0.0,8.100511142253076e-06,0.0
hurraapatriotismi,7654.235465656825,0.0,8.100511142253076e-06,0.0
rez-reverte,7654.235465656825,0.0,8.100511142253076e-06,0.0
huumorikooperatiiv,7654.235465656825,0.0,8.100511142253076e-06,0.0
loteriimoment,7654.235465656825,0.0,8.100511142253076e-06,0.0
huntingtoonlased,7654.235465656825,0.0,8.100511142253076e-06,0.0
lootskalad,7654.235465656825,0.0,8.100511142253076e-06,0.0
nõukogude-rahva-identiteedi,7654.235465656825,0.0,8.100511142253076e-06,0.0
töötajate-ülalpeetavate,7654.235465656825,0.0,8.100511142253076e-06,0.0
igapäevainimestel,7654.235465656825,0.0,8.100511142253076e-06,0.0
ideeriigi,7654.235465656825,0.0,8.100511142253076e-06,0.0
taasaktualiseerunud,7654.235465656825,0.0,8.100511142253076e-06,0.0
iibekordaja,7654.235465656825,0.0,8.100511142253076e-06,0.0
ideoloogia-ametnikele,7654.235465656825,0.0,8.100511142253076e-06,0.0
näomoonutaja,7654.235465656825,0.0,8.100511142253076e-06,0.0
ideoloogidki,7654.235465656825,0.0,8.100511142253076e-06,0.0
ikonoduulidest,7654.235465656825,0.0,8.100511142253076e-06,0.0
ikoonobjektid,7654.235465656825,0.0,8.100511142253076e-06,0.0
