SONAVORM,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
valeuudiste,5580.728471391817,9188.361408882083,0.6466239946969298
roonemaa,3596.622664081671,7656.967840735069,1.1292108057964387
allikapesu,3063.7871362940277,3062.7871362940277,0.0
silverman,2698.271306093601,3062.7871362940277,0.1354629645191604
klaassen,1814.0122216919249,3062.7871362940277,0.6889561711091674
valeinfo,1017.248761388212,3062.7871362940277,2.0118366839915933
termini,753.1388139948325,3062.7871362940277,3.068024485476922
levivad,420.9735271860277,3062.7871362940277,6.27786176193484
kommunikatsiooni,264.2406427574486,3062.7871362940277,10.594685451572772
ingl,262.01649713013666,3062.7871362940277,10.693107761731223
veenda,247.6068206436081,3062.7871362940277,11.373597497557943
ajakirjanduse,211.68584614844198,3062.7871362940277,13.47327344760493
süüria,107.67708224612431,3062.7871362940277,27.453474707746405
teabe,106.62094907137414,4594.180704441042,42.09829113756001
ajakirjanik,99.5565626001892,3062.7871362940277,29.774336279547335
oskus,93.51696632343831,3062.7871362940277,31.76183196210189
uudised,47.54085694190777,3062.7871362940277,63.44534939784114
ülikooli,30.591210625753003,6125.5742725880555,199.2723706341468
selgus,29.82782126785858,3062.7871362940277,101.71575348332456
nõukogude,28.44927988967278,3062.7871362940277,106.69295912499341
venemaa,28.2707103190615,6125.5742725880555,215.71101303942896
ameerika,28.063734135910362,3062.7871362940277,108.17246869060111
töötab,21.84838278388661,3062.7871362940277,139.22946991543924
sõnas,21.659258085323017,3062.7871362940277,140.45392811816322
sõna,15.49568864143656,3062.7871362940277,196.71868209207855
tartu,12.0468643791303,6125.5742725880555,507.5617368783188
eestis,11.50170238454868,6125.5742725880555,531.6667364318572
näiteks,8.069931584010522,7656.967840735069,947.950776225699
aastal,5.119693861739342,6125.5742725880555,1195.6680895460106
eesti,4.972404573353264,12251.148545176111,2463.0288947593763
kaks,4.046801023711256,3062.7871362940277,756.0886530725144
euroopa,3.838794882588786,3062.7871362940277,797.1117069292036
ajal,3.2372552009515863,3062.7871362940277,945.415078858606
